timestamp,direction,entry,exit,lot_size,result,profit,balance,session
2023-08-18 06:00:00,sell,145.356,145.37821,10.0,loss,-222.1,9777.9,London
2023-08-18 06:01:00,sell,145.354,145.37574,10.0,loss,-217.37,9560.53,London
2023-08-18 06:09:00,sell,145.345,145.29023,10.0,win,547.71,10108.25,London
2023-08-18 06:10:00,sell,145.315,145.25236,10.0,win,626.45,10734.69,London
2023-08-18 06:16:00,sell,145.263,145.29708,10.0,loss,-340.78,10393.91,London
2023-08-18 06:17:00,sell,145.266,145.29944,10.0,loss,-334.44,10059.47,London
2023-08-18 06:24:00,sell,145.23,145.26459,10.0,loss,-345.86,9713.61,London
2023-08-18 06:27:00,sell,145.217,145.2498,10.0,loss,-328.03,9385.58,London
2023-08-18 06:28:00,sell,145.222,145.25375,10.0,loss,-317.46,9068.12,London
2023-08-18 06:37:00,sell,145.213,145.24567,10.0,loss,-326.65,8741.47,London
2023-08-18 06:39:00,sell,145.199,145.23118,10.0,loss,-321.82,8419.66,London
2023-08-18 07:01:00,buy,145.366,145.33095,10.0,loss,-350.49,8069.16,London
2023-08-18 07:02:00,buy,145.366,145.33148,10.0,loss,-345.17,7723.99,London
2023-08-18 07:21:00,sell,145.254,145.231,10.0,win,230.0,7953.99,London
2023-08-18 07:22:00,sell,145.263,145.211,10.0,win,520.0,8473.99,London
2023-08-18 07:23:00,sell,145.262,145.214,10.0,win,480.0,8953.99,London
2023-08-18 07:24:00,sell,145.257,145.19116,10.0,win,658.36,9612.35,London
2023-08-18 07:25:00,sell,145.245,145.17851,10.0,win,664.91,10277.26,London
2023-08-18 07:26:00,sell,145.238,145.17215,10.0,win,658.48,10935.74,London
2023-08-18 07:27:00,sell,145.235,145.17082,10.0,win,641.81,11577.55,London
2023-08-18 07:29:00,sell,145.223,145.15383,10.0,win,691.66,12269.21,London
2023-08-18 07:30:00,sell,145.241,145.17106,10.0,win,699.4,12968.61,London
2023-08-18 07:31:00,sell,145.237,145.16777,10.0,win,692.3,13660.91,London
2023-08-18 07:33:00,sell,145.222,145.235,10.0,loss,-130.0,13530.91,London
2023-08-18 07:34:00,sell,145.225,145.15654,10.0,win,684.6,14215.5,London
2023-08-18 07:38:00,sell,145.214,145.204,10.0,win,100.0,14315.5,London
2023-08-18 07:40:00,sell,145.182,145.21642,10.0,loss,-344.16,13971.34,London
2023-08-18 07:41:00,sell,145.179,145.2131,10.0,loss,-341.0,13630.34,London
2023-08-18 07:42:00,sell,145.171,145.20472,10.0,loss,-337.22,13293.12,London
2023-08-18 07:43:00,sell,145.175,145.20837,10.0,loss,-333.7,12959.42,London
2023-08-18 07:44:00,sell,145.173,145.20579,10.0,loss,-327.87,12631.56,London
2023-08-18 07:45:00,sell,145.18,145.2119,10.0,loss,-319.02,12312.54,London
2023-08-18 08:07:00,buy,145.325,145.39272,10.0,win,677.16,12989.7,London
