timestamp,direction,entry,exit,lot_size,result,profit,balance,session
2023-08-18 04:52:00,buy,145.473,145.45465,0.54,loss,-9.91,90.09,Asia
2023-08-18 04:53:00,buy,145.483,145.46455,0.49,loss,-9.04,81.05,Asia
2023-08-18 04:55:00,buy,145.488,145.46814,0.41,loss,-8.14,72.91,Asia
2023-08-18 05:20:00,sell,145.354,145.37341,0.38,loss,-7.38,65.53,Asia
2023-08-18 05:22:00,sell,145.356,145.37695,0.31,loss,-6.49,59.04,Asia
2023-08-18 06:10:00,sell,145.315,145.23481,0.21,win,16.84,75.88,London
2023-08-18 06:16:00,sell,145.263,145.29424,0.24,loss,-7.5,68.38,London
2023-08-18 06:17:00,sell,145.266,145.29666,0.22,loss,-6.74,61.64,London
2023-08-18 07:01:00,buy,145.366,145.33387,0.19,loss,-6.1,55.53,London
2023-08-18 07:02:00,buy,145.366,145.33436,0.18,loss,-5.7,49.84,London
2023-08-18 07:24:00,sell,145.257,145.231,0.17,win,4.42,54.26,London
2023-08-18 07:25:00,sell,145.245,145.211,0.19,win,6.46,60.72,London
2023-08-18 07:26:00,sell,145.238,145.214,0.21,win,5.04,65.76,London
2023-08-18 07:29:00,sell,145.223,145.179,0.22,win,9.68,75.44,London
2023-08-18 07:30:00,sell,145.241,145.171,0.25,win,17.5,92.94,London
2023-08-18 07:31:00,sell,145.237,145.175,0.31,win,19.22,112.16,London
2023-08-18 08:07:00,buy,145.325,145.371,0.38,win,17.48,129.64,London
2023-08-18 08:08:00,buy,145.327,145.383,0.44,win,24.64,154.28,London
2023-08-18 08:09:00,buy,145.319,145.40097,0.55,win,45.08,199.36,London
2023-08-18 08:10:00,buy,145.338,145.4,0.71,win,44.02,243.38,London
2023-08-18 08:30:00,buy,145.455,145.53698,0.86,win,70.5,313.88,London
2023-08-18 08:31:00,buy,145.466,145.54647,1.13,win,90.93,404.81,London
2023-08-18 08:32:00,buy,145.471,145.55121,1.47,win,117.9,522.72,London
2023-08-18 08:34:00,buy,145.503,145.4729,1.74,loss,-52.37,470.35,London
2023-08-18 08:36:00,buy,145.491,145.58294,1.49,win,136.99,607.34,London
2023-08-18 08:40:00,buy,145.534,145.63163,1.81,win,176.72,784.05,London
2023-08-18 09:51:00,buy,145.554,145.52891,3.13,loss,-78.53,705.53,London
2023-08-18 09:52:00,buy,145.558,145.53407,2.95,loss,-70.58,634.95,London
2023-08-18 09:54:00,buy,145.557,145.53378,2.73,loss,-63.4,571.55,London
2023-08-18 09:55:00,buy,145.569,145.54571,2.45,loss,-57.07,514.49,London
2023-08-18 09:56:00,buy,145.567,145.54451,2.29,loss,-51.51,462.98,London
2023-08-18 09:58:00,buy,145.568,145.54687,2.19,loss,-46.27,416.71,London
2023-08-18 10:52:00,sell,145.446,145.46653,2.03,loss,-41.67,375.04,London
2023-08-18 10:53:00,sell,145.446,145.46561,1.91,loss,-37.46,337.58,London
