timestamp,direction,entry,exit,lot_size,result,profit,balance,session
2023-08-18 04:52:00,buy,145.473,145.45465,0.54,loss,-9.91,90.09,Asia
2023-08-18 04:53:00,buy,145.483,145.46455,0.49,loss,-9.04,81.05,Asia
2023-08-18 05:20:00,sell,145.354,145.37341,0.42,loss,-8.15,72.9,Asia
2023-08-18 05:22:00,sell,145.356,145.37695,0.35,loss,-7.33,65.57,Asia
2023-08-18 06:10:00,sell,145.315,145.23481,0.24,win,19.24,84.81,London
2023-08-18 06:16:00,sell,145.263,145.29424,0.27,loss,-8.43,76.38,London
2023-08-18 06:17:00,sell,145.266,145.29666,0.25,loss,-7.66,68.71,London
2023-08-18 07:01:00,buy,145.366,145.33387,0.21,loss,-6.75,61.96,London
2023-08-18 07:02:00,buy,145.366,145.33436,0.2,loss,-6.33,55.64,London
2023-08-18 07:24:00,sell,145.257,145.231,0.19,win,4.94,60.58,London
2023-08-18 07:25:00,sell,145.245,145.211,0.21,win,7.14,67.72,London
2023-08-18 07:26:00,sell,145.238,145.214,0.23,win,5.52,73.24,London
2023-08-18 07:29:00,sell,145.223,145.179,0.24,win,10.56,83.8,London
2023-08-18 07:30:00,sell,145.241,145.171,0.27,win,18.9,102.7,London
2023-08-18 07:31:00,sell,145.237,145.175,0.34,win,21.08,123.78,London
2023-08-18 08:07:00,buy,145.325,145.371,0.42,win,19.32,143.1,London
2023-08-18 08:08:00,buy,145.327,145.383,0.49,win,27.44,170.54,London
2023-08-18 08:09:00,buy,145.319,145.40097,0.61,win,50.0,220.54,London
2023-08-18 08:10:00,buy,145.338,145.4,0.78,win,48.36,268.9,London
2023-08-18 08:30:00,buy,145.455,145.53698,0.95,win,77.88,346.78,London
2023-08-18 08:31:00,buy,145.466,145.54647,1.25,win,100.59,447.37,London
2023-08-18 08:32:00,buy,145.471,145.55121,1.62,win,129.94,577.3,London
2023-08-18 08:34:00,buy,145.503,145.4729,1.92,loss,-57.79,519.52,London
2023-08-18 08:36:00,buy,145.491,145.58294,1.64,win,150.78,670.29,London
2023-08-18 08:40:00,buy,145.534,145.63163,2.0,win,195.27,865.56,London
2023-08-18 09:51:00,buy,145.554,145.52891,3.45,loss,-86.56,779.01,London
2023-08-18 09:52:00,buy,145.558,145.53407,3.26,loss,-78.0,701.01,London
2023-08-18 10:52:00,sell,145.446,145.46653,3.42,loss,-70.2,630.81,London
2023-08-18 10:53:00,sell,145.446,145.46561,3.22,loss,-63.15,567.66,London
2023-08-18 11:34:00,sell,145.389,145.31027,2.1,win,165.34,733.01,London
2023-08-18 11:35:00,sell,145.392,145.315,2.77,win,213.28,946.29,London
2023-08-18 11:36:00,sell,145.383,145.30579,3.57,win,275.64,1221.93,London
2023-08-18 11:37:00,sell,145.371,145.361,4.37,win,43.7,1265.63,London
2023-08-18 11:38:00,sell,145.363,145.356,4.53,win,31.71,1297.34,London
2023-08-18 11:42:00,sell,145.335,145.3614,4.91,loss,-129.64,1167.7,London
