timestamp,direction,entry,exit,lot_size,result,profit,balance,session
2023-08-18 08:10:00,buy,145.338,145.383,10.0,win,450.0,10450.0,London
2023-08-18 08:11:00,buy,145.329,145.402,10.0,win,730.0,11180.0,London
2023-08-18 08:32:00,buy,145.471,145.55873,10.0,win,877.27,12057.27,London
2023-08-18 10:56:00,sell,145.453,145.47101,10.0,loss,-180.15,11877.12,London
2023-08-18 11:37:00,sell,145.371,145.318,10.0,win,530.0,12407.12,London
2023-08-18 11:45:00,sell,145.319,145.34348,10.0,loss,-244.85,12162.27,London
2023-08-18 11:47:00,sell,145.318,145.34094,10.0,loss,-229.38,11932.89,London
2023-08-18 12:18:00,buy,145.53,145.62489,10.0,win,948.87,12881.76,New York
2023-08-18 13:58:00,sell,145.333,145.295,10.0,win,380.0,13261.76,New York
2023-08-18 14:30:00,sell,145.224,145.25659,10.0,loss,-325.89,12935.88,New York
2023-08-18 14:34:00,sell,145.27,145.30279,10.0,loss,-327.87,12608.01,New York
2023-08-18 15:58:00,sell,145.149,145.164,10.0,loss,-150.0,12458.01,New York
2023-08-18 15:59:00,sell,145.149,145.143,10.0,win,60.0,12518.01,New York
2023-08-18 16:00:00,sell,145.152,145.139,10.0,win,130.0,12648.01,New York
2023-08-18 18:53:00,buy,145.247,145.30647,10.0,win,594.75,13242.76,Overlap
2023-08-18 18:55:00,buy,145.25,145.30766,10.0,win,576.57,13819.32,Overlap
2023-08-18 18:56:00,buy,145.253,145.31104,10.0,win,580.38,14399.71,Overlap
2023-08-18 19:10:00,buy,145.307,145.29047,10.0,loss,-165.25,14234.46,Overlap
2023-08-18 19:42:00,buy,145.372,145.35395,10.0,loss,-180.49,14053.97,Overlap
2023-08-18 20:38:00,buy,145.355,145.378,10.0,win,230.0,14283.97,Overlap
2023-08-20 22:01:00,buy,145.381,145.35523,10.0,loss,-257.66,14026.31,Overlap
2023-08-20 22:02:00,buy,145.386,145.36093,10.0,loss,-250.69,13775.62,Overlap
2023-08-20 22:07:00,buy,145.387,145.36435,10.0,loss,-226.54,13549.08,Overlap
2023-08-21 08:23:00,buy,145.591,145.576,10.0,loss,-150.0,13399.08,London
2023-08-21 10:09:00,buy,145.808,145.8755,10.0,win,674.99,14074.07,London
2023-08-21 14:59:00,buy,146.291,146.26809,10.0,loss,-229.06,13845.01,New York
2023-08-21 17:16:00,sell,146.13,146.096,10.0,win,340.0,14185.01,New York
2023-08-21 17:17:00,sell,146.136,146.098,10.0,win,380.0,14565.01,New York
2023-08-21 19:08:00,sell,146.101,146.11449,10.0,loss,-134.85,14430.16,Overlap
2023-08-22 06:03:00,buy,146.085,146.06405,10.0,loss,-209.5,14220.66,London
2023-08-22 07:15:00,sell,145.847,145.8,10.0,win,470.0,14690.66,London
2023-08-22 07:16:00,sell,145.836,145.759,10.0,win,770.0,15460.66,London
2023-08-22 07:44:00,sell,145.786,145.781,10.0,win,50.0,15510.66,London
2023-08-22 08:11:00,sell,145.69,145.673,10.0,win,170.0,15680.66,London
2023-08-22 09:52:00,sell,145.587,145.51488,10.0,win,721.16,16401.83,London
2023-08-22 09:53:00,sell,145.583,145.51378,10.0,win,692.15,17093.98,London
2023-08-22 10:56:00,buy,145.694,145.713,10.0,win,190.0,17283.98,London
2023-08-22 10:57:00,buy,145.689,145.728,10.0,win,390.0,17673.98,London
2023-08-22 12:48:00,buy,145.97,145.93995,10.0,loss,-300.51,17373.46,New York
2023-08-22 13:51:00,buy,146.074,146.03988,10.0,loss,-341.16,17032.3,New York
2023-08-22 13:52:00,buy,146.073,146.04018,10.0,loss,-328.22,16704.08,New York
2023-08-22 18:34:00,buy,145.832,145.81931,10.0,loss,-126.9,16577.18,Overlap
2023-08-22 18:35:00,buy,145.832,145.81986,10.0,loss,-121.41,16455.78,Overlap
2023-08-22 20:14:00,buy,145.916,145.90983,10.0,loss,-61.75,16394.03,Overlap
2023-08-22 21:11:00,sell,145.818,145.821,10.0,loss,-30.0,16364.03,Overlap
2023-08-22 21:14:00,sell,145.813,145.816,10.0,loss,-30.0,16334.03,Overlap
2023-08-22 21:16:00,sell,145.811,145.817,10.0,loss,-60.0,16274.03,Overlap
2023-08-22 22:25:00,sell,145.792,145.80169,10.0,loss,-96.88,16177.15,Overlap
2023-08-22 23:20:00,sell,145.792,145.79843,10.0,loss,-64.3,16112.86,Overlap
2023-08-22 23:53:00,sell,145.733,145.74109,10.0,loss,-80.88,16031.97,Overlap
2023-08-22 23:54:00,sell,145.731,145.7393,10.0,loss,-82.96,15949.01,Overlap
2023-08-23 06:33:00,sell,145.606,145.62792,10.0,loss,-219.22,15729.79,London
2023-08-23 08:40:00,sell,145.294,145.33172,10.0,loss,-377.15,15352.64,London
2023-08-23 10:17:00,buy,145.502,145.502,10.0,loss,0.0,15352.64,London
2023-08-23 11:39:00,sell,145.305,145.32887,10.0,loss,-238.68,15113.96,London
2023-08-23 12:44:00,buy,145.497,145.45926,10.0,loss,-377.42,14736.54,New York
2023-08-23 13:18:00,sell,145.317,145.17666,10.0,win,1403.44,16139.98,New York
2023-08-23 13:52:00,sell,144.793,144.86476,10.0,loss,-717.6,15422.38,New York
2023-08-23 13:55:00,sell,144.822,144.808,10.0,win,140.0,15562.38,New York
2023-08-23 14:02:00,sell,144.808,144.88068,10.0,loss,-726.83,14835.54,New York
2023-08-23 17:29:00,sell,144.624,144.64605,10.0,loss,-220.54,14615.01,New York
2023-08-23 19:20:00,buy,144.903,144.88865,10.0,loss,-143.5,14471.5,Overlap
2023-08-23 20:05:00,buy,144.886,144.87127,10.0,loss,-147.35,14324.15,Overlap
2023-08-23 20:07:00,buy,144.88,144.86524,10.0,loss,-147.61,14176.54,Overlap
2023-08-23 21:13:00,sell,144.798,144.80779,10.0,loss,-97.85,14078.69,Overlap
2023-08-23 21:47:00,sell,144.782,144.79884,10.0,loss,-168.4,13910.29,Overlap
2023-08-23 21:48:00,sell,144.793,144.792,10.0,win,10.0,13920.29,Overlap
2023-08-23 21:50:00,sell,144.788,144.80346,10.0,loss,-154.62,13765.68,Overlap
2023-08-23 22:34:00,sell,144.786,144.79593,10.0,loss,-99.35,13666.33,Overlap
2023-08-23 22:35:00,sell,144.787,144.79651,10.0,loss,-95.11,13571.22,Overlap
