Generation,BestPnL,BestParams
1,31875.0,"{'ma_period': 11, 'tp_pips': 18, 'sl_pips': 50}"
2,32557.5,"{'ma_period': 9, 'tp_pips': 18, 'sl_pips': 45}"
3,32557.5,"{'ma_period': 9, 'tp_pips': 18, 'sl_pips': 45}"
4,34805.0,"{'ma_period': 7, 'tp_pips': 18, 'sl_pips': 41}"
5,38880.0,"{'ma_period': 7, 'tp_pips': 18, 'sl_pips': 45}"
6,38880.0,"{'ma_period': 7, 'tp_pips': 18, 'sl_pips': 45}"
7,38880.0,"{'ma_period': 7, 'tp_pips': 18, 'sl_pips': 45}"
8,39270.0,"{'ma_period': 8, 'tp_pips': 18, 'sl_pips': 49}"
9,39270.0,"{'ma_period': 8, 'tp_pips': 18, 'sl_pips': 49}"
10,39270.0,"{'ma_period': 8, 'tp_pips': 18, 'sl_pips': 49}"
11,42232.5,"{'ma_period': 7, 'tp_pips': 18, 'sl_pips': 49}"
12,48997.5,"{'ma_period': 6, 'tp_pips': 18, 'sl_pips': 49}"
13,49840.0,"{'ma_period': 6, 'tp_pips': 14, 'sl_pips': 49}"
14,49840.0,"{'ma_period': 6, 'tp_pips': 14, 'sl_pips': 49}"
15,58257.5,"{'ma_period': 5, 'tp_pips': 18, 'sl_pips': 49}"
16,58625.0,"{'ma_period': 5, 'tp_pips': 14, 'sl_pips': 49}"
17,58625.0,"{'ma_period': 5, 'tp_pips': 14, 'sl_pips': 49}"
18,58625.0,"{'ma_period': 5, 'tp_pips': 14, 'sl_pips': 49}"
19,58625.0,"{'ma_period': 5, 'tp_pips': 14, 'sl_pips': 49}"
20,58967.5,"{'ma_period': 5, 'tp_pips': 16, 'sl_pips': 49}"
