Timestamp,entry_time,exit_time,entry_price,exit_price,pnl,balance
2023-08-18 00:50:00,2023-08-18 00:22:00,2023-08-18 00:50:00,145.742,145.573,1.18,101.18
2023-08-18 00:50:00,2023-08-18 00:27:00,2023-08-18 00:50:00,145.748,145.573,1.22,102.4
2023-08-18 00:58:00,2023-08-18 00:43:00,2023-08-18 00:58:00,145.683,145.533,1.05,103.45
2023-08-18 01:37:00,2023-08-18 00:58:00,2023-08-18 01:37:00,145.533,145.381,1.06,104.51
2023-08-18 01:38:00,2023-08-18 01:17:00,2023-08-18 01:38:00,145.502,145.349,1.07,105.58
2023-08-18 03:30:00,2023-08-18 01:28:00,2023-08-18 03:30:00,145.46,145.395,0.45,106.03
2023-08-18 03:30:00,2023-08-18 01:37:00,2023-08-18 03:30:00,145.381,145.395,-0.1,105.93
2023-08-18 03:30:00,2023-08-18 02:16:00,2023-08-18 03:30:00,145.508,145.395,0.79,106.72
2023-08-18 05:19:00,2023-08-18 02:27:00,2023-08-18 05:19:00,145.465,145.344,0.85,107.57
2023-08-18 05:19:00,2023-08-18 03:46:00,2023-08-18 05:19:00,145.383,145.344,0.27,107.84
2023-08-18 06:10:00,2023-08-18 04:57:00,2023-08-18 06:10:00,145.471,145.315,1.09,108.93
2023-08-18 06:23:00,2023-08-18 05:36:00,2023-08-18 06:23:00,145.359,145.209,1.05,109.98
2023-08-18 06:36:00,2023-08-18 05:50:00,2023-08-18 06:36:00,145.353,145.199,1.08,111.06
2023-08-18 07:27:00,2023-08-18 04:03:00,2023-08-18 07:27:00,145.334,145.235,0.69,111.75
2023-08-18 09:26:00,2023-08-18 07:04:00,2023-08-18 09:26:00,145.315,145.469,-1.08,110.67
2023-08-18 11:32:00,2023-08-18 09:33:00,2023-08-18 11:32:00,145.487,145.346,0.99,111.66
2023-08-18 13:43:00,2023-08-18 12:18:00,2023-08-18 13:43:00,145.53,145.373,1.1,112.76
2023-08-18 14:50:00,2023-08-18 08:13:00,2023-08-18 14:50:00,145.315,145.242,0.51,113.27
2023-08-18 14:50:00,2023-08-18 13:58:00,2023-08-18 14:50:00,145.333,145.242,0.64,113.91
2023-08-18 15:52:00,2023-08-18 06:23:00,2023-08-18 15:52:00,145.209,145.15,0.41,114.32
2023-08-18 15:52:00,2023-08-18 06:36:00,2023-08-18 15:52:00,145.199,145.15,0.34,114.66
2023-08-18 16:57:00,2023-08-18 15:32:00,2023-08-18 16:57:00,145.216,145.094,0.85,115.51
2023-08-18 16:57:00,2023-08-18 15:34:00,2023-08-18 16:57:00,145.195,145.094,0.71,116.22
2023-08-18 17:00:00,2023-08-18 16:40:00,2023-08-18 17:00:00,145.196,145.033,1.14,117.36
2023-08-18 17:12:00,2023-08-18 16:10:00,2023-08-18 17:12:00,145.139,144.961,1.25,118.61
2023-08-21 00:04:00,2023-08-18 17:36:00,2023-08-21 00:04:00,145.106,145.257,-1.06,117.55
2023-08-23 13:45:00,2023-08-18 17:52:00,2023-08-23 13:45:00,145.065,144.887,1.25,118.8
2023-08-23 13:45:00,2023-08-18 18:19:00,2023-08-23 13:45:00,145.19,144.887,2.12,120.92
2023-08-23 13:45:00,2023-08-18 18:34:00,2023-08-23 13:45:00,145.195,144.887,2.16,123.08
2023-08-23 13:45:00,2023-08-21 00:37:00,2023-08-23 13:45:00,145.161,144.887,1.92,125.0
2023-08-23 14:27:00,2023-08-23 14:17:00,2023-08-23 14:27:00,144.825,144.664,1.13,126.13
2023-08-23 15:14:00,2023-08-23 13:56:00,2023-08-23 15:14:00,144.765,144.643,0.85,126.98
2023-08-23 15:16:00,2023-08-23 14:36:00,2023-08-23 15:16:00,144.738,144.624,0.8,127.78
2023-08-23 15:16:00,2023-08-23 14:43:00,2023-08-23 15:16:00,144.737,144.624,0.79,128.57
2023-08-23 17:22:00,2023-08-23 14:47:00,2023-08-23 17:22:00,144.68,144.552,0.9,129.47
2023-08-23 17:22:00,2023-08-23 16:33:00,2023-08-23 17:22:00,144.668,144.552,0.81,130.28
2023-08-23 21:45:00,2023-08-23 15:50:00,2023-08-23 21:45:00,144.615,144.758,-1.0,129.28
2023-08-23 21:45:00,2023-08-23 15:54:00,2023-08-23 21:45:00,144.627,144.758,-0.92,128.35999999999999
2023-08-23 23:30:00,2023-08-23 18:30:00,2023-08-23 23:30:00,144.791,144.637,1.08,129.44
2023-08-23 23:30:00,2023-08-23 22:01:00,2023-08-23 23:30:00,144.789,144.637,1.06,130.5
2023-08-23 23:30:00,2023-08-23 22:10:00,2023-08-23 23:30:00,144.792,144.637,1.09,131.59
2023-08-24 00:19:00,2023-08-23 18:05:00,2023-08-24 00:19:00,144.751,144.641,0.77,132.36
2023-08-24 06:45:00,2023-08-23 23:56:00,2023-08-24 06:45:00,144.673,145.016,-2.4,129.96
2023-08-24 06:45:00,2023-08-24 00:12:00,2023-08-24 06:45:00,144.714,145.016,-2.11,127.85
2023-08-24 13:06:00,2023-08-24 08:04:00,2023-08-24 13:06:00,145.292,145.789,-3.48,124.37
2023-08-24 14:11:00,2023-08-24 13:15:00,2023-08-24 14:11:00,145.786,145.607,1.25,125.62
2023-08-24 14:42:00,2023-08-24 14:12:00,2023-08-24 14:42:00,145.604,145.481,0.86,126.48
2023-08-31 18:22:00,2023-08-24 15:01:00,2023-08-31 18:22:00,145.57,145.418,1.06,127.53999999999999
2023-09-01 00:58:00,2023-08-31 18:44:00,2023-09-01 00:58:00,145.423,145.537,-0.8,126.74
2023-09-01 12:25:00,2023-09-01 01:24:00,2023-09-01 12:25:00,145.271,145.136,0.94,127.68
2023-09-01 12:30:00,2023-08-24 07:25:00,2023-09-01 12:30:00,145.148,144.834,2.2,129.88
2023-09-01 12:31:00,2023-08-24 01:35:00,2023-09-01 12:31:00,144.954,144.786,1.18,131.06
2023-09-01 12:38:00,2023-08-24 00:43:00,2023-09-01 12:38:00,144.735,144.546,1.32,132.38
2023-09-01 13:10:00,2023-09-01 12:46:00,2023-09-01 13:10:00,144.566,144.737,-1.2,131.18
